timestamp,open,high,low,close,volume,dollar_volume
2022-01-01 00:00:00.194,46210.57,46530.99,46210.55,46407.48,2155.559,99966027.87294
2022-01-01 00:08:23.220,46407.49,46424.41,46239.0,46375.38,2158.408,100028559.09331
2022-01-01 00:32:29.158,46375.37,46698.15,46370.78,46650.02,2148.239,100005177.46766
2022-01-01 00:42:37.887,46654.43,46729.73,46567.49,46679.37,2142.338,99976948.8629
2022-01-01 00:54:11.774,46679.19,46788.46,46570.34,46788.46,2140.621,99915534.24538
2022-01-01 01:16:04.789,46788.51,46944.56,46781.91,46857.14,2136.041,100097536.28672
2022-01-01 01:25:13.607,46857.15,46868.0,46725.69,46750.31,2135.641,99927557.80536
2022-01-01 01:43:54.375,46750.31,46858.42,46705.87,46835.24,2138.965,100072317.6318
2022-01-01 02:12:01.127,46835.33,46917.87,46735.1,46735.1,2134.158,99974695.54241
2022-01-01 02:36:50.351,46735.0,46850.0,46709.44,46809.04,2137.342,100001907.90289
2022-01-01 03:11:54.795,46809.04,46888.0,46762.17,46835.02,2135.4519999999998,99991977.40302
2022-01-01 03:41:44.039,46835.01,46886.0,46752.27,46760.01,2135.228,99989264.31528
2022-01-01 04:14:00.611,46760.0,46760.0,46605.0,46674.05,2144.267,100029180.44349
2022-01-01 04:22:37.839,46675.0,46774.09,46625.0,46770.0,2140.851,99977847.02768
2022-01-01 04:49:29.835,46770.0,46828.41,46657.99,46762.5,2140.6,100042014.86116
2022-01-01 05:16:10.326,46762.88,47114.36,46754.14,47095.43,2129.711,99989246.78916
2022-01-01 05:23:05.247,47095.4,47400.0,47088.12,47367.56,2117.003,99998350.89836
2022-01-01 05:24:53.220,47367.55,47491.0,47350.0,47464.08,2109.598,100012650.89885
2022-01-01 05:27:30.094,47464.07,47566.66,47362.4,47464.42,2107.269,100003172.91512
2022-01-01 05:32:05.297,47465.36,47514.2,47303.91,47304.9,2107.607,99998744.27503
2022-01-01 05:41:58.452,47304.89,47326.02,47166.69,47215.17,2116.803,99982638.6814
2022-01-01 05:52:14.071,47215.43,47312.82,47073.35,47101.01,2119.477,100012203.62284
2022-01-01 06:05:17.763,47101.0,47314.4,47100.03,47166.92,2117.696,100004065.76715
2022-01-01 06:23:31.485,47166.93,47230.29,47094.0,47094.2,2120.102,99944459.56405
2022-01-01 06:47:32.241,47094.18,47099.0,46932.38,46951.49,2127.021,100042072.37908
2022-01-01 06:59:35.346,46954.99,47036.64,46867.0,46944.76,2130.064,100014438.03307
2022-01-01 07:10:17.422,46945.15,47108.5,46920.81,47106.66,2126.75,99953130.91194
2022-01-01 07:41:50.465,47106.53,47247.44,47054.0,47236.29,2120.733,99971786.8944
2022-01-01 07:59:25.478,47235.94,47250.0,47060.74,47208.84,2121.641,100023537.77136
2022-01-01 08:15:30.351,47208.17,47338.0,47200.41,47240.84,2116.373,100032804.9118
2022-01-01 08:33:23.618,47240.83,47260.61,47080.02,47111.45,2119.592,99977601.41768
2022-01-01 08:59:33.932,47111.46,47200.0,47053.91,47109.98,2122.006,100004186.41770001
2022-01-01 09:32:16.738,47109.98,47118.99,46920.02,46952.52,2128.282,100034050.92784
2022-01-01 09:45:32.810,46952.53,47267.48,46945.51,47216.12,2121.897,99953018.03246
2022-01-01 10:02:12.757,47214.9,47293.76,47011.0,47031.05,2121.841,100039016.46821
2022-01-01 10:20:27.561,47030.81,47050.0,46794.57,46843.21,2129.826,99953667.32238
2022-01-01 10:28:53.724,46843.28,46915.3,46730.0,46800.38,2137.354,100050231.30587
2022-01-01 10:33:48.683,46800.39,46899.96,46700.09,46899.96,2133.938,99877536.29031
2022-01-01 10:43:43.841,46900.0,47085.89,46897.43,46938.11,2129.832,100064165.95405
2022-01-01 10:55:26.018,46938.12,47003.92,46859.36,46978.17,2130.707,99980113.54589
2022-01-01 11:21:35.518,46978.18,46987.45,46810.0,46946.72,2133.299,100084878.42292
2022-01-01 11:44:36.957,46946.73,46977.0,46750.0,46763.81,2133.169,99894741.32234
2022-01-01 12:02:17.386,46763.83,47013.98,46762.35,46932.95,2133.101,100075469.75418
2022-01-01 12:24:37.181,46932.95,47148.0,46872.31,47037.51,2126.403,100014860.00015
2022-01-01 12:39:01.205,47037.52,47144.98,47000.0,47025.65,2124.701,100012838.13799
2022-01-01 13:05:08.443,47025.64,47200.0,47011.72,47011.72,2122.983,99989182.53931
2022-01-01 13:25:21.193,47011.66,47066.91,46907.65,47042.67,2127.799,99998957.34845
2022-01-01 13:41:13.589,47042.77,47075.27,46924.18,47030.24,2128.063,100011008.29939
2022-01-01 14:16:58.401,47030.28,47105.19,46850.0,46850.01,2121.405,99666044.66781
2022-01-01 14:35:21.185,46850.0,46969.52,46830.23,46886.57,2138.101,100302335.0716
2022-01-01 15:00:55.111,46886.56,47120.43,46874.03,47108.74,2128.39,100011728.25193
2022-01-01 15:32:33.131,47110.01,47404.89,47077.46,47317.67,2115.958,100004499.72571
2022-01-01 15:34:32.144,47316.49,47488.64,47228.9,47432.97,2113.491,100007980.54055
2022-01-01 15:38:49.718,47432.98,47438.23,47276.16,47367.06,2110.969,99980218.08569
2022-01-01 15:46:52.437,47367.05,47367.05,47089.44,47197.9,2118.267,99971976.08974
2022-01-01 15:55:52.974,47197.91,47383.54,47156.1,47327.59,2117.548,100057155.35701
2022-01-01 16:09:51.818,47327.59,47450.0,47315.55,47325.4,2090.788,99065886.98362
2022-01-01 16:21:51.831,47325.41,47500.0,47325.41,47428.79,2128.514,100934595.51012
2022-01-01 16:34:46.784,47428.79,47456.56,47300.0,47300.01,2110.016,99960987.43946
2022-01-01 16:52:23.973,47300.0,47346.0,47222.18,47251.19,2114.64,99976011.15553
2022-01-01 17:11:19.330,47251.19,47460.0,47220.03,47455.01,2113.736,100021527.90086
2022-01-01 17:36:34.953,47455.0,47800.0,47441.36,47685.48,2100.613,100031154.50827
2022-01-01 17:38:46.047,47685.5,47850.0,47591.65,47818.68,2094.953,100010970.55187
2022-01-01 17:41:21.594,47818.69,47896.0,47780.11,47871.17,2090.559,100000091.27235
2022-01-01 17:45:05.012,47871.16,47943.77,47750.0,47751.36,2089.507,99997247.66254
2022-01-01 17:49:26.843,47751.53,47835.15,47653.84,47744.21,2095.115,100003380.18175
2022-01-01 17:59:23.394,47741.91,47832.04,47650.0,47748.71,2095.104,99998846.1696
2022-01-01 18:12:32.802,47748.69,47762.01,47580.32,47586.5,2098.359,99998019.04919
2022-01-01 18:32:31.230,47590.28,47590.48,47405.0,47478.14,2105.031,99995081.64377
2022-01-01 18:35:17.003,47478.15,47535.0,47400.44,47509.25,2104.433,99905386.1666
